run,part,temperature,label,latency_sec,raw_preview
1,A_prompt_only,0.0,OK,1.505,"{""status"": ""classified"", ""severity"": ""P0"", ""component"": ""payment"", ""ne"
2,A_prompt_only,0.0,OK,7.978,"{""status"": ""classified"", ""severity"": ""P0"", ""component"": ""payment"", ""ne"
3,A_prompt_only,0.0,OK,1.194,"{   ""status"": ""classified"",   ""severity"": ""P0"",   ""component"": ""paymen"
4,A_prompt_only,0.0,OK,1.261,"{""status"": ""classified"", ""severity"": ""P0"", ""component"": ""payment"", ""ne"
5,A_prompt_only,0.0,OK,1.209,"{""status"": ""classified"", ""severity"": ""P0"", ""component"": ""payment"", ""ne"
6,A_prompt_only,0.0,OK,1.534,"{   ""status"": ""classified"",   ""severity"": ""P0"",   ""component"": ""paymen"
7,A_prompt_only,0.0,OK,1.193,"{""status"": ""classified"", ""severity"": ""P0"", ""component"": ""payment"", ""ne"
8,A_prompt_only,0.0,OK,1.211,"{""status"": ""classified"", ""severity"": ""P0"", ""component"": ""payment"", ""ne"
9,A_prompt_only,0.0,OK,1.339,"{   ""status"": ""classified"",   ""severity"": ""P0"",   ""component"": ""paymen"
10,A_prompt_only,0.0,OK,1.201,"{   ""status"": ""classified"",   ""severity"": ""P0"",   ""component"": ""paymen"
1,B_structured,0.0,OK,2.668,"{   ""status"": ""classified"",   ""severity"": ""P0"",   ""component"": ""paymen"
2,B_structured,0.0,OK,62.243,"{   ""status"": ""classified"",   ""severity"": ""P0"",   ""component"": ""paymen"
3,B_structured,0.0,OK,1.414,"{   ""status"": ""classified"",   ""severity"": ""P0"",   ""component"": ""paymen"
4,B_structured,0.0,OK,1.176,"{   ""status"": ""classified"",   ""severity"": ""P0"",   ""component"": ""paymen"
5,B_structured,0.0,OK,1.479,"{   ""status"": ""classified"",   ""severity"": ""P0"",   ""component"": ""paymen"
6,B_structured,0.0,OK,1.274,"{   ""status"": ""classified"",   ""severity"": ""P0"",   ""component"": ""paymen"
7,B_structured,0.0,OK,1.323,"{   ""status"": ""classified"",   ""severity"": ""P0"",   ""component"": ""paymen"
8,B_structured,0.0,OK,1.225,"{   ""status"": ""classified"",   ""severity"": ""P0"",   ""component"": ""paymen"
9,B_structured,0.0,OK,1.329,"{   ""status"": ""classified"",   ""severity"": ""P0"",   ""component"": ""paymen"
10,B_structured,0.0,OK,1.225,"{   ""status"": ""classified"",   ""severity"": ""P0"",   ""component"": ""paymen"
